record_id,term,canonical_meaning,category_primary,category_secondary,domains,era,region,confidence,review_status,status,source_id,risk_flag,sensitivity_tag,display_label,short_anchor,notes,owner,last_reviewed_at,approved_by
REC54_M1000,the block,Geographic reference,place,,place,2000s-present,,4,approved,active,SRC_5_4_MINER,low,contextual,the block,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,PH Labs Curator
REC54_M1001,mac,Street/slang term,slang,,slang,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,mac,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1002,crack,Street/slang term,slang,,slang,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,crack,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1003,slide,Street/slang term,slang,,slang,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,slide,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1004,fiends,Street/slang term,slang,,slang,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,fiends,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1005,Nas,Proper noun in: N.Y. State of Mind by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Nas,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1006,One Nas,Proper noun in: N.Y. State of Mind by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,One Nas,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1007,Scarface,Proper noun in: N.Y. State of Mind by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Scarface,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1008,Grants,Proper noun in: N.Y. State of Mind by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Grants,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1009,Task Force,Proper noun in: N.Y. State of Mind by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Task Force,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1010,Force,Proper noun in: N.Y. State of Mind by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Force,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
